lutador,grau
Brianna Van Buren,2
Bristol Marunde,2
Viscardi Andrade,4
Brock Jardine,2
Jesse Sanders,1
Shane Carwin,6
Brodie Farber,2
Rory Markham,3
Brok Weaver,3
Jalin Turner,5
Bruno Rodrigues,1
Matheus Nicolau,5
Chris Camozzi,18
Bruno Santos,3
Bruno Silva,4
David Dvorak,2
JP Buys,1
Tagir Ulanbekov,1
Joe Ellenberger,2
Joe Proctor,8
Sage Northcutt,8
Dustin Neace,1
Erik Perez,9
Johnny Bedford,5
Mitch Gagnon,8
Charles Rosa,9
Matt Sayles,3
Tyler Diamond,1
Bubba Bush,2
Buddy Roberts,2
Byron Bloodworth,2
Francis Carmont,9
Goran Reljic,4
Jason Miller,3
Jay Silva,2
Jesse Taylor,2
Joe Doerksen,9
Khalid Murtazaliev,1
Lyoto Machida,23
CJ Keith,2
CM Punk,2
Mickey Gall,8
Mike Jackson,2
Chris Wade,7
Cain Carrizosa,2
Leonardo Mafra,4
Denis Stojnic,2
Josh Samman,5
Karlos Vemola,6
Luke Zachrich,3
Nick Ring,6
David Abbott,18
Cal Worsham,3
Paul Varelans,8
Zane Frazier,1
Tim Credeur,5
Cale Yarbrough,1
Callan Potter,3
Maki Pitolo,5
Chris Fishgold,4
Dan Ige,9
Shane Burgos,8
Jason Dent,4
Cameron Dollar,1
Kyler Phillips,3
Cameron Else,1
Fabiano Iha,6
Hermes Franca,11
Joanna Jedrzejczyk,12
Juliana Lima,7
Virna Jandiroba,4
Erick Silva,15
Carlo Prater,3
TJ Grant,11
Carlos Barreto,1
Tyron Woodley,14
Carlos Eduardo Rocha,3
Kris McCray,3
Carlos Felipe,3
Justin Tafa,3
Serghei Spivac,5
Yorgan De Castro,3
Carlos Huachin,2
Raoni Barcelos,5
Pete Spratt,7
Renato Verissimo,3
Kennedy Nzechukwu,3
Carlos Ulberg,1
Naoki Inoue,2
Christos Giagos,8
Carlton Minus,2
Matthew Semelsberger,2
Carmelo Marrero,4
Sam Stout,18
Caros Fodor,1
Dominick Cruz,7
Casey Kenney,7
Ray Borg,12
Casey O'Neill,1
Julianna Pena,8
Gasan Umalatov,4
Mike King,1
Cesar Arzamendia,2
Marco Polo Reyes,8
Karl Roberson,7
Chad Griggs,2
Galore Bofando,2
Yosdenis Cedeno,4
Conor McGregor,11
Michihiro Omigawa,7
Rani Yahya,17
Dan Miller,13
Jeremy Horn,12
Renato Sobral,9
Trevor Prangley,4
Mark Hominick,7
JJ Aldrich,8
Chan-Mi Jeon,2
Ismail Naurdiev,4
Kyle Stewart,2
Charles Byrd,4
Desmond Green,7
Dooho Choi,6
Josh Culibao,2
Marcelo Rojo,1
David Loiseau,9
Charles McCarthy,3
Gideon Ray,3
David Teymur,6
Efrain Escudero,12
Eric Wisely,2
Jared Gordon,8
Jonathan Brookins,5
Darrick Minner,3
Kevin Aguilar,5
Sean Soriano,3
Daniel Roberts,7
Leandro Silva,8
Charlie Ontiveros,1
Charlie Valencia,1
Edimilson Souza,4
Jordan Griffin,4
Mirsad Bektic,10
Tom Niinimaki,4
Daniel Teymur,5
Peter Barrett,2
Ike Villanueva,3
Rashad Coulter,4
Chris Cope,3
Che Mills,4
Matthew Riddle,12
Dan Evensen,2
Gilbert Aldana,2
Mostapha Al-Turk,3
Shawn Jordan,10
Cheyanne Buys,1
Montserrat Conejo,1
Chris Holdsworth,2
Dustin Kimura,5
Dustin Pague,6
Henry Cejudo,11
Chris Kelades,4
Chris Beal,5
Tateki Matsuda,2
Gil Castillo,3
Chris Brennan,2
Dustin Jacoby,4
Jacare Souza,14
James Hammortree,1
Luiz Cane,9
Nick Catone,8
Chris Cariaso,13
Danny Martinez,4
Iliarde Santos,3
Josh Ferguson,2
Vaughan Lee,8
Will Campuzano,4
Keith Wisniewski,4
Chris Clements,5
Nordine Taleb,12
Chris Condo,1
Chuck O'Neil,1
Parker Porter,2
Rodrigo Nascimento,2
Chris Dempsey,4
Ilir Latifi,13
Jonathan Wilson,4
Cody Durden,2
Geraldo de Freitas,3
Ryan MacDonald,2
Evan Tanner,15
Chris Haseman,1
Davey Grant,7
Chris Indich,2
Paddy Holohan,5
Edwin DeWees,3
Jake Rosholt,3
Jason Thacker,1
Jorge Rivera,15
Terry Martin,6
Keith Rockel,2
Chris Liguori,1
Jason Gilliam,2
Karo Parisyan,13
Kyle Bradley,4
Paul Taylor,9
Ronald Jhun,1
Chris Price,2
Chris Sanford,1
Chris Saunders,1
Chris Tickle,1
Tim Hague,5
Frankie Perez,4
Mehdi Baghdad,2
Dominick Reyes,8
Gegard Mousasi,11
Jesse Bongfeldt,2
Luke Rockhold,9
Chris Wilson,4
Steve Bruno,3
Sean Brady,4
Jarjis Danho,2
Christian Colombo,3
Christian Morecraft,4
Sean McCorkle,3
Scott Junk,1
Christina Marks,1
Guy Mezger,4
Christophe Leninger,2
Jorge de Oliveira,2
Murilo Bustamante,4
Noe Hernandez,1
Paul Jones,2
Quinton Jackson,13
Tito Ortiz,20
Vernon White,2
Ciryl Gane,5
Don'Tale Mayes,3
Raphael Pessoa,3
James Wilks,4
Ricardo Funch,4
Jessica Aguilar,5
Tina Lahdemaki,1
Claudio Puelles,3
Felipe Silva,3
Marcos Mariano,2
Cole Williams,2
Justin James,1
Mac Danzig,12
Marcus Aurelio,6
Samy Schiavo,2
Shannon Gugerty,5
Takanori Gomi,13
Tatsuya Kawajiri,6
Clay Harvison,3
Clifford Starks,3
Cody Donovan,4
Nikita Krylov,13
Jimmy Flick,1
Cody East,2
Henry Briones,5
Marcus Brimage,8
TJ Dillashaw,13
Douglas Silva de Andrade,8
Manvel Gamburyan,15
Vagner Rocha,4
Cody Pfister,4
Terrion Ware,4
Tom Duquesnoy,3
Jonathan Meunier,2
Wagner Silva,2
Dan Lauzon,3
Junie Browning,2
Nam Phan,7
Steven Siler,9
TJ O'Brien,2
Cole Smith,3
Miles Johns,3
Jason Witt,3
Mike Ricci,3
Colin Fletcher,2
Norman Parke,9
Collin Hart,1
Colton Smith,4
Constantinos Philippou,10
Fabio Maldonado,11
Corey Anderson,14
Johnny Walker,6
Justin Jones,2
Matt Van Buren,2
Dale Hartt,3
Corey Hill,3
Joe Veres,2
Justin Buchholz,5
Cristina Stanciu,2
Gillian Robertson,9
Mara Romero Borella,7
Cory Hendricks,1
Josh Stansbury,3
Kay Hansen,2
Cory McKenna,1
Mario Bautista,4
David Heath,5
Cory Walmsley,1
Dominique Steele,5
Josh Neer,15
Marcio Alexandre Junior,3
Ryan Jensen,8
Crafton Wallace,2
Craig White,2
Cristiano Marcello,4
Kazuki Tokudome,4
Reza Madadi,7
Cung Le,4
Curt Warburton,3
Maciej Jewtuszko,1
Curtis Stout,2
Pearl Gonzalez,2
Poliana Botelho,5
Dmitrii Smoliakov,3
Cyril Asker,5
Hu Yaozong,2
Tom DeBlass,2
Da-Un Jung,3
Khadis Ibragimov,4
John Maguire,5
Mike Guymon,4
Daichi Abe,3
Hyun Gyu Lim,7
Luke Jumeau,4
Daiju Takase,3
Kenichi Yamamoto,3
Dalcha Lungiambula,3
Magomed Ankalaev,6
Filip Pejic,1
Pingyuan Liu,4
Jon Tuck,9
Marcin Held,4
Nick Hein,8
Ilia Topuria,2
Damon Jackson,5
Levan Makashvili,3
Rony Jason,9
Mark Kerr,4
Dan Cramer,2
Matt Arroyo,3
Marc Diakiese,9
Mark Eddiva,4
Michael Chandler,1
Danny Henry,4
Julio Arce,5
Mike Santiago,3
John Salter,3
Matt Horwich,2
Rob Kimmons,7
Joe Charles,2
Marcus Bossett,1
Royce Gracie,10
Dan Stittgen,2
Daniel Jolly,2
Patrick Walsh,2
Steve Montgomery,2
Nandor Guelmino,1
Herbert Burns,3
Justin Lawrence,3
Mike Brown,6
Pat Schilling,2
Robert Whiteford,5
Greg Soto,3
Rich Attonito,5
Daniel Rodriguez,4
Gabe Green,2
Eddie Mendez,1
Kiichi Kunimoto,5
Mark Godbeer,4
Daniel Spohn,1
Sung Bin Jo,1
Danielle Taylor,5
Jessica Penne,4
Zhang Weili,5
Jesse Lennox,3
Danillo Villefort,1
Danilo Belluardo,2
Danilo Marques,2
Danny Abbadi,2
John Cholish,3
Paul Sass,5
Shamar Bailey,3
Danny Chavez,2
TJ Brown,2
Danny Downes,2
Richie Vaculik,4
Sirwan Kakai,2
Igor Araujo,4
Danny Mitchell,2
Sai Wang,2
Michel Pereira,5
Nathan Coy,3
Oliver Enkamp,2
Zelim Imadaev,3
Dante Rivera,1
Darko Stosic,4
Jamahal Hill,3
Jeremy Kimball,4
Mike Rio,4
Darrel Gholar,1
Darrell Horcher,4
John Dodson,16
Darrell Montague,3
Willie Gates,4
Eduardo Garagorri,3
Nate Landwehr,3
Zhang Tiequan,4
Eryk Anders,11
Jessin Ayari,4
Wendell Oliveira Marques,2
Norifumi Yamamoto,4
Phil Harris,5
Grant Dawson,5
TJ Laramie,1
James McSweeney,3
Darrill Schoonover,1
Dashon Johnson,2
Todd Medina,2
Royston Wee,3
Dave Galera,1
Jon Olav Einemo,2
Dave Menne,6
Dave Strasser,2
Romie Aram,1
Grigory Popov,2
Hugo Duarte,1
John Matua,1
Kimo Leopoldo,5
Sam Adkins,2
Scott Ferrozzo,4
Steve Jennum,3
Steve Nelmark,2
Yoji Anjo,3
David Baron,1
David Bielkheden,3
Gerald Harris,4
David Branch,9
Tomasz Drwal,6
Travis Fulton,2
David Dodd,2
Tyrone Roberts,1
Scott Bessac,1
David Hood,1
David Kaplan,2
Junior Assuncao,5
David Lee,2
Johnny Rhodes,3
David Levicki,1
Mark Weir,3
David Michaud,3
David Mitchell,5
Yan Cabral,5
Marcelo Mello,1
David Roberts,1
David Terrell,3
Matt Lindland,10
Scott Smith,4
Jason Novelli,2
Martin Svensson,1
David Velasquez,1
DeAnna Bennett,1
Melinda Fabian,2
Jordan Radev,2
Yuki Sasaki,1
Jarred Brooks,4
Joseph Morales,3
Marco Beltran,6
Delson Heleno,1
Jake Shields,8
Nate Quarry,9
Xavier Foupa-Pokam,2
Matt Grice,7
Pablo Garza,6
Rick Glenn,6
Te Edwards,2
Tommy Hayden,2
Frank Trigg,6
Melvin Guillard,22
Naoyuki Kotani,5
Nate Mohr,4
Paul Kelly,9
Dusko Todorovic,2
Roan Carneiro,9
Derek Downey,1
Gerald Meerschaert,12
Derrick Krantz,2
Jack May,2
Derrick Noble,1
Josh Emmett,9
Ryan Spann,6
Jesus Pinedo,2
Devonte Smith,4
Julian Erosa,7
Justin Jaynes,4
Khama Worthy,3
Diana Belbita,2
Liana Jojua,3
Joey Gambino,2
Katsunori Kikuno,5
Diego Rivas,4
Noad Lahat,4
Rodolfo Rubio Perez,1
John Alessio,5
John Hathaway,9
Dustin Hazelett,10
Diego Saraiva,3
Geza Kalman,1
Dieusel Berto,1
Steven Graham,2
Dmitri Stepanov,1
Dmitry Sosnovskiy,1
Dokonjonosuke Mishima,2
Domingo Pilarte,2
Felipe Colares,3
Journey Newson,3
Dominic Waters,3
Mark Hall,4
Thomas Ramirez,1
Don Madge,2
Fares Ziam,2
Justin Gaethje,8
Jason Tan,2
Sean Pierson,6
Tarec Saffiedine,6
Omar Morales,3
Tony Fryklund,4
Donnie Chappell,1
Jeff Hougland,3
Donny Walker,2
Ken Stone,4
Roman Mitichyan,2
Dorian Price,1
Doug Evans,2
Lerone Murphy,3
Rob Font,11
Zubaira Tukhugov,7
Jason Gonzalez,4
Drew Fickett,7
Marvin Eastman,5
Dricus Du Plessis,1
Genki Sudo,3
Jonathan Goulet,9
Nick Osipczak,5
Punahele Soriano,2
Paul Daley,3
Stevie Lynch,1
Tony DeSouza,6
Maxim Grishin,3
Jon Delos Reyes,4
Hector Sandoval,4
Jose Maria,2
Justin Scoggins,9
Zach Makovsky,7
Jared Papazian,3
John Albert,5
Jason Young,4
Joe Duffy,8
Dustin Stoltzfus,1
Dwayne Cason,2
Houston Dorr,1
Jimmy Quinlan,1
Ebenezer Fontes Braga,1
Eddie Ruiz,1
Mario Neto,1
John Castaneda,2
Eddie Yagin,2
Sheldon Westcott,3
Luke Cummo,7
Edilberto de Oliveira,2
Ednaldo Oliveira,2
Mike Lullo,2
Edward Faaloloto,2
Jason Reinhardt,3
Phillipe Nover,7
Rodrigo de Lima,2
Eiji Mitsuoka,2
Elias Garcia,2
Elias Silverio,5
Ernest Chavez,3
Isaac Vallie-Flagg,4
Joao Zeferino,2
Shane Campbell,5
Roger Narvaez,3
Jules Bruchez,1
Elizabeth Phillips,4
Milana Dudieva,3
Valerie Letourneau,6
Luigi Vendramini,2
Jamie Moyle,3
Polyana Viana,6
Keith Hackney,4
Emmanuel Yarborough,1
Horacio Gutierrez,2
Matt Bessette,2
Movsar Evloev,4
Erick Montano,3
Enrique Marin,2
Enson Inoue,1
Royce Alger,2
Rob MacDonald,3
Luan Chagas,4
Luis Ramos,2
Mike Rhodes,3
Takenori Sato,2
Taylor Lapilus,4
Ernie Verdicia,1
Tim Williams,2
Eugene Jackson,7
Keiichiro Yamamiya,1
Sanae Kikuta,1
Mikey Burnett,3
Eugenio Tadeu,1
Per Eklund,3
Homer Moore,1
Justin Levens,2
Lance Gibson,2
Valeri Ignatov,2
Laverne Clark,3
Phil Johns,1
Jerry Bohlander,7
Fabio Gurgel,1
Hans Stringer,3
Igor Pokrajac,13
Kyle Kingsbury,9
Roger Hollett,2
Mike Russow,6
Falaniko Vitale,1
Zarah Fairn,2
Jerrod Sanders,4
Milton Vieira,2
Felix Lee Mitchell,1
Glaico Franca Moreira,3
Fernando Bruno,2
Flavio Luiz Moura,1
Floyd Sword,1
Hector Ramirez,2
Kuniyoshi Hironaka,4
Sammy Morgan,2
Magnus Cedenblad,6
Francisco Figueiredo,1
Jerome Rivera,3
Reuben Duran,4
Francisco Trevino,3
Renee Forte,4
Jai Herbert,1
Jesse Ronson,4
Frank Caracci,1
Frank Hamaker,1
Thaddeus Luster,1
Frank Lester,1
Pete Williams,8
Roberto Traven,1
Wes Sims,2
Frank Shamrock,5
Igor Zinoviev,1
John Lober,1
Kevin Jackson,4
Matt Veach,3
Nolan Ticman,2
Fred Ettish,1
Fredson Paixao,1
Yao Zhikui,4
Philip Rowe,1
Gabe Ruediger,3
Humberto Brown Morrison,1
Josh Hendricks,1
Kevin Jordan,2
Konstantin Erokhin,2
Gabriel Silva,2
Gadzhimurad Antigulov,6
Ion Cutelaba,8
Michal Oleksiejczuk,5
Gaetano Pirrello,1
Paulo Costa,6
John Campetella,1
Mark Schultz,1
Paul Herrera,1
SeungWoo Choi,4
Joby Sanchez,5
Leigh Remedios,1
Jay Hieron,4
Maiquel Falcao,1
Joseph Gigliotti,2
Khamzat Chimaev,3
Oskar Piechota,6
Gerald Strebendt,1
Larissa Pacheco,2
Gerry Harris,1
Saparbeg Safarov,4
Jamall Emmers,2
Jamey Simmons,1
Jason Saggo,6
Lukasz Sajewski,3
Mike Davis,3
Gilbert Smith,1
Jon Madsen,5
Mayra Bueno Silva,4
Sarah Frota,2
Taila Santos,3
Julia Avila,3
Gina Mazany,6
Macy Chiasson,6
Rachael Ostovich,4
Wu Yanan,4
Jeff Cox,2
Gloria de Paula,1
Jinh Yu Frey,3
Gokhan Saki,2
Henrique da Silva,6
Michael Trizano,3
Rob Emerson,7
Greg Stott,1
Guangyou Ning,4
Jianping Yang,1
Guilherme Vasconcelos,1
Mateusz Gamrot,1
Guram Kutateladze,1
Jason Fairn,1
John Dowdy,1
Yoshinori Horie,1
Mallory Martin,3
Mariya Agapova,2
Hannah Goldy,1
Harold Howard,3
Roland Payne,1
Harry Hunsucker,1
Hayato Sakurai,1
Hayder Hassan,2
Laureano Staropoli,4
Hector Aldana,3
Miguel Baeza,3
Joe Jordan,1
Richard Crunkilton,1
Hernani Perpetuo,2
Kevin Ferguson,2
John Teixeira,1
Ramiro Hernandez,2
Pascal Krauss,4
Nate Schroeder,1
Scott Adams,1
Tedd Williams,2
Ian Loveland,3
Tyler Toner,1
Tom Murphy,1
Icho Larenas,1
Rafael Cavalcante,5
Todd Brown,2
Jordan Wright,2
Ikuhisa Minowa,1
Joe Slick,2
Richardson Moreira,2
Wagner Prado,2
Tyson Pedro,6
Impa Kasanganay,2
Talita Bernardo,4
Vanessa Melo,4
Leo Kuntz,2
Rob Wilkinson,2
Issei Tamura,3
Leandro Issa,5
Pedro Nobre,1
Russell Doane,8
Ivan Jorge,4
Josh Shockley,2
Nick Pace,3
Ivan Serati,1
JC Cottrell,2
Lauren Mueller,4
Jack Nilson,1
Saeed Hosseini,1
Nohelin Hernandez,2
Jacob Malkoun,1
Phil Hawes,2
Ronys Torres,2
Shane Roller,6
Ricardo Abreu,2
Jake Hecht,3
Jake Lindsey,3
Rostem Akman,2
Josh Shockman,1
Kristof Midoux,1
Klidson Abreu,4
Vince Cachero,2
James Bochnovic,2
Mike Kyle,3
Tom Gallicchio,1
Valmir Lazaro,3
James Mulheron,1
Ricardo Romero,3
Steve Bosse,3
James Toney,1
Phillip Miller,2
James Zikic,1
Viviane Pereira,4
Tafon Nchukwi,1
Jamie Pickett,1
Jamie Yager,1
Nick Roehrick,1
Michel Quinones,2
War Machine,2
Jared Rollins,1
Josh Copeland,2
Jared Vanderaa,1
Robert Sanchez,3
Jason Black,2
Jason DeLucia,3
Scott Baker,1
Jason Godsey,2
Rory Singer,4
Javier Vazquez,1
Jeff Curran,3
Juan Espino,2
Jeff Hughes,4
Jeff Joslin,1
Tim Lajcik,3
Jeff Newton,1
Joao Roque,1
John Lewis,2
Jeremy Jackson,2
Jermaine Andre,1
Tyson Nam,5
Nick Sanzo,1
Rainy Martinez,1
Peggy Morgan,1
Jesse Forbes,3
Jesse Strader,1
Kalindra Faria,3
Jessica Rakoczy,2
Sarah Alpar,1
Jim Wallhead,2
Kamal Shalorus,3
Steve Lopez,2
Jim Mullen,1
Jimmy Crute,5
Jin Soo Son,2
Jiri Prochazka,1
Joao Pierini,1
Nazareno Malegarie,1
Jocelyn Jones-Lybarger,3
Joe Giannetti,1
Jonathan Pearce,2
Joe Moreira,2
Yuri Vaulin,1
Mike van Arsdale,4
Joe Pardo,1
Ron Stallings,3
Joe Son,1
Michinori Tanaka,5
Rolles Gracie,1
Joey Gomez,2
Sione Latu,1
Joey Roberts,1
John Allan,2
Roman Dolidze,3
John Cofer,2
John Gunderson,3
Mark Holst,2
John Halverson,2
Tom Egan,1
John Kolosci,1
Lowell Anderson,1
Louis Gaudinot,5
Yasuhiro Urushitani,2
Kyle Watson,2
Pat Audinwood,2
John Marsh,1
Ulysses Gomez,2
John Polakowski,1
Johnny Munoz,1
Nate Maness,2
Nate Loughran,2
Johnny Rees,2
Patrick Smith,5
Roldan Sangcha'an,2
Justin Wren,1
Jon Manley,1
Tae Hyun Bang,5
Paul Georgieff,1
Wuliji Buren,3
Kai Kamaka,2
Jonathan Wiezorek,1
Wade Shipp,1
Jonavin Webb,2
Jordan Leavitt,1
Jordan Williams,1
Nassourdine Imavov,2
Jorge Patino,1
Lee Murray,1
Nissen Osterneck,1
Leonardo Morales,2
Karol Rosa,3
Joselyne Edwards,2
Joseph Sandoval,2
Nick Denis,2
Walel Watson,4
Semmy Schilt,2
Josh Bryant,1
Josh Clopton,2
Ruslan Magomedov,3
Josh Haynes,3
Josh Parisian,1
Josh Sampo,4
Pete Sell,6
Justin Frazier,1
Marcin Wrzosek,1
Sean Woodson,2
Julian Sanchez,1
Nicco Montano,2
Julija Stoliarenko,2
Leah Letson,1
Julio Paulino,2
Jumabieke Tuerxun,3
Said Nurmagomedov,4
Jutaro Nakao,2
KB Bhullar,1
Raulian Paiva,4
Kanako Murata,1
Karine Gevorgyan,1
Roman Kopylov,1
Seth Petruzelli,4
Nick Thompson,2
Lara Procopio,2
Katsuhisa Fujii,2
Masutatsu Yano,1
Quinn Mulhern,2
Kazuhiro Nakamura,2
Rameau Thierry Sokoudjou,3
Yui Chul Nam,3
Kazushi Sakuraba,1
Marcus Silveira,1
Keigo Kunihara,1
Salim Touahri,3
Robert Drysdale,1
Keith Berish,2
Marco Ruas,6
Kerry Schall,1
Mike Whitehead,1
Kelly Dullanty,1
Kelly Faszholz,2
Tim Kennedy,5
Kit Cope,1
Thiago Perpetuo,3
Todd Butler,1
Kevin Natividad,1
Marcin Prachnio,4
Luis Pena,7
Ottman Azaitar,2
Luiz Dutra,2
Shamil Gamzatov,1
Koji Kitao,1
Koji Oishi,2
Kristian Rothaermel,1
Shane Primm,1
Kurt Holobaugh,4
Razak Al-Hassan,2
Sako Chivitchian,1
Shunichi Shimizu,1
Larry Cureton,2
Liliya Shakirova,1
Lewis Gonzalez,1
Pawel Pawlak,3
Roman Bogatov,1
Rin Nakai,2
Miranda Maverick,1
Lodune Sincaid,1
Logan Clark,1
Steve Byrnes,1
Louis Cosce,1
Sasha Palatnikov,1
Priscila Cachoeira,4
Lucio Linhares,2
Ludovit Klein,1
Solomon Hutcherson,1
Richie Smullen,1
Steve Garcia,1
Stanislav Nedkov,4
Mats Nilsson,2
Luke Caudillo,2
Shanna Young,1
Maia Stevenson,1
Marcin Bandel,2
Victoria Leonardo,1
Manon Fiorot,1
Teemu Packalen,4
Marcelo Aguiar,1
Wagner Campos,1
Ryan Roberts,1
Stephen Bass,1
Marcus Jones,1
Trevin Jones,2
Moti Horenstein,2
Mark Scanlon,1
Mark Striegl,1
Roman Salazar,3
Timur Valiev,2
Mason Jones,1
Rafael Carino,1
Matt Andersen,1
Rex Holman,1
Renzo Gracie,1
Philip De Fries,5
Michel Batista,1
Ramiz Brahimaj,1
Will Chope,1
Melton Bowen,1
Rick Davis,1
Waylon Lowe,4
Michael McBride,2
Tristan Connelly,1
Mickael Lebout,3
Mike Ciesnolevicz,2
Neil Grove,1
Thomas Gifford,2
Mike Grundy,2
Mike Nickels,2
Wes Combs,2
Paul Bradley,2
Mike Stumpf,2
Steve Vigneault,1
Niklas Backstrom,3
Townsend Saunders,2
Minoki Ichihara,1
Paul Redmond,2
Tim Gorman,2
Ricky Rainey,2
Nah-Shon Burrell,2
Yuri Villefort,2
Rafa Garcia,1
Neil Wain,1
Nick Agallar,1
Nicolae Negumereanu,1
Niklas Stolze,1
Oli Thompson,2
Orlando Wiet,2
Robert Lucarelli,1
Shane Howell,2
Shane del Rosario,2
Ray Wizard,1
Rudyard Moncayo,1
Scott Morris,2
Troy Mandaloniz,2
Paul Rodriguez,1
Zach Light,1
Steve Kennedy,2
Rob Broughton,3
Yoislandy Izquierdo,2
Stefan Sekulic,1
Tony Halme,1
Ryan Parker,1
Travis Wiuff,2
Rob Yundt,2
Ross Pointon,2
Richie Hightower,1
Vinicius Queiroz,1
Steve Steinbeiss,2
Rocky Lee,1
Rodrigo Ruas,1
Roger Gracie,1
Roger Zapata,1
Satoshi Honma,1
Ron van Clief,1
Ronnie Lawrence,1
Sergey Khandozhko,2
Ryan Madigan,1
Ryan McGillivray,1
Sam Hughes,1
Sean Daugherty,1
Sean Alvarez,1
Umar Nurmagomedov,1
Sergey Morozov,1
Suman Mokhtarian,2
Tracy Cortez,2
Stephanie Egger,1
Tai Bowden,1
Zarrukh Adashev,2
Wes Albritton,1
Tony Petarra,1
Yoshiki Takahashi,1
Wallid Ismail,1
Willamy Freire,1
